ANEXO I - NOMENCLADOR GENERAL APROSS
Código	Descripción	Valor
030808	EXTIRPACION DE RANULA	 $  86.998 
030901	OPERACION COMANDO PISO DE BOCA	 $  504.969 
030902	ESCISION AMPLIADA DE MUCOSA YUGAL Y RECONSTRUCCION	 $  158.263 
030903	ESTOMATOPLASTIA CON INJERTO INC.TOMA INJERTO	 $  116.439 
030904	INSICION Y DRENAJE DE PISO DE BOCA - BIOPSIA MUCOSA BUCAL	 $  75.007 
030905	CIERRE DE FISTULA EXTERNA DE BOCA	 $  78.942 
031001	QUEILOPLASTIA LABIO LEPORINO	 $  342.189 
031003	QUEILOPLASTIA CON PALATOPLASTIA	 $  402.485 
031004	RESECCION DE LABIO ESCISION EN CUNA	 $  113.242 
031005	QUEILOPLASTIA DE BERNARD BOROW ABBE EASTLANDER O SIMILAR	 $  318.127 
031006	QUEILOPASTIA CON VACIAMIENTO GANGLIONAR SUPRAHIOIDEO	 $  342.189 
031007	ESCISION LOCAL DE LESION DE LABIO	 $  19.773 
031008	INSICION Y DRENAJE DE LABIO ABSCESO SUTURA BIOPSIA	 $  8.699 
031009	CIRUGIA ORTOGNATICA	 $  811.710 
031101	OPERACION COMANDO DE LENGUA	 $  504.969 
031102	GLOSECTOMIA SUBTOTAL	 $  212.466 
031103	ESCISION LOCAL DE LESION DE LENGUA	 $  212.466 
031104	GLOSOPLASTIA	 $  121.421 
031105	GLOSOTOMIA CON DRENAJE DE ABCES EXTRACCION DE CUERPO EXTRAO SECCION FRENILLO SUTURA BIOPSIA EN LA LENGUA	 $  56.719 
031201	PALATOPLASTIA PALADAR BLANDO O DURO	 $  115.303 
031204	RESECCION TOTAL O PARCIAL PALADAR Y RECONSTRUCCION	 $  335.760 
031205	OPERACION COMANDO DE PALADAR BLANDO	 $  504.969 
031206	INSICION Y DRENAJE DE PALADAR ABSCESO SUTURA BIOPSIA DE PALADAR	 $  88.577 
031301	AMIGDALECTOMIA ADENOIDECTOMIA POR CUALQUIER TECNICA	 $  102.774 
031302	ESCISION O ELECTROCOAGULACION DE AMIGDALA LINGUAL RESTO AMIGDALINO O TEJIDO LINFOIDEO FARINGEO	 $  9.915 
031303	INSICION Y DRENAJE DE AMIGDALA O TEJIDOS PERIAMIGDALINOS	 $  9.915 
031304	OPERACION COMANDO DE FARINGE	 $  504.969 
031305	FARINGOPLASTIA	 $  197.555 
031306	FARINGUECTOMIA PARCIAL TUMORES	 $  283.373 
031307	ESCISION DE DIVERTICULO FARINGOESOFAGICO O DE LESION LOCAL DE FARINGE	 $  160.457 
031308	FARINGOTOMIA EXPLORACION EXTRACCION DE CUERPO EXTRAÑO	 $  96.007 
031310	SUTURA DE FARINGE	 $  84.525 
031311	BIOPSIA DE FARINGE	 $  15.117 
031312	ESCISION RADICAL DE LESION DE NASOFARINGE	 $  129.332 
031313	BIOPSIA DE LESION DE NASOFARINGE	 $  15.117 
	OPERACIONES EN EL SISTEMA ENDOCRINO	
040101	TIROIDECTOMIA TOTAL CON VACIAMIENTO GANGLIONAR UNI O BILATERAL CUALQUIER TECNICA	 $  477.577 
040103	TIROIDECTOMIA PARCIAL Y/O TOTAL CUALQUIER TECNICA	 $  325.817 
040105	EXTIRPACION DE QUISTE TIROGLOSO	 $  117.327 
040106	PUNCION BIOPSIA DE TIROIDES	 $  11.636 
040107	INSICION Y DRENAJE DE QUISTE TIROGLOSO INFECTADO	 $  47.066 
040108	PARATIROIDECTOMIA	 $  441.731 
040109	PUNCION NODULO TIROIDES POR ECOGRAFIA  - PAAF	 $  34.808 
040110	ALCOHOLIZACION DE PARATIROIDES	 $  64.933 
040201	ADRENALECTOMIA UNI O BILATERAL CUALQUIER TECNICA	 $  390.197 
040301	HIPOFISECTOMIA TRANSESFENOIDAL	 $  1.488.990 
	OPERACIONES EN EL TORAX	
050101	RESECCION DE PLEURA PARIETAL COSTILLAS MUSCULOS	 $  1.068.154 
050102	OPERACION PLASTICA POR TORAX EN CARINA O EXCAVADO	 $  1.345.375 
050103	TORACOPLASTIA	 $  283.573 
050201	TRAQUEOPLASTIA - BRONCOPLASTIA	 $  273.538 
050202	TRAQUEOSTOMIA TRAQUEOTOMIA	 $  153.749 
050203	TRAQUEORRAFIA SUTURA CIERRE DE TRAQUEOSTOMIA O FISTULA TRAQUEAL	 $  100.648 
050302	BRONCOTOMIA BRONCORRAFIA POR HERIDA O TRAUMATISMO	 $  283.573 
050304	CIERRE DE FISTULA BRONCO CUTANEA	 $  201.729 
050401	NEUMONECTOMIA LOBECTOMIA SEGMENTECTOMIA PLEURONEUMONECTOMIA DECORTICACION DE PULMON	 $  1.041.319 
050402	ESCISION LOCAL DE LESION PULMONAR CUERPO EXTRANO QUISTECTOMIA OLESIONES DE ENFISEMA	 $  373.643 
050403	OPERACIONES EN EL MEDIASTINO VIA TORACICA O VIDEOSCOPICA	 $  1.041.422 
050405	MEDIASTINOSCOPIA CON O SIN VIDEOSCOPIA	 $  218.736 
050406	TORACOTOMIA AMPLIA EXPLORADORA BIOPSIA DE PULMON PLEURA O MEDIASTINO	 $  520.660 
050407	DRENAJE DE PLEURA CON TROCARD 	 $  53.446 
050408	PUNCION DE CAVIDAD PLEURAL PARA LAVAJE O INSTILACION DE SUSTANCIAS. PUNCION PLEURAL O PULMONAR	 $  34.808 
050409	PUNCION BIOPSIA DE PLEURA O PULMON CON AGUJA DE VIMSILVERMAN COPER O SIMILARES	 $  53.506 
050410	BIOPSIA DE GRASA PRE-ESCALENICA. BIOPSIA DE DANIELS	 $  141.222 
050412	VIDEOTORACOSCOPIA DIAGNOSTICA CON O SIN INSTILACION DE SUSTANCIAS	 $  811.223 
050413	TORACOVIDEOSCOPIA TERAPEUTICA. PARA RESECCIONES	 $  961.847 
050414	TORACOTOMIA MINIMA	 $  53.446 
050501	COLOCACION DE STENT ENDOBRONQUIAL	 $  205.087 
052404	TRAQUEOPLASTIA CON UTILIZACION DE TUBO DE MONTGOMERY	 $  273.538 
	OPERACIONES EN LA MAMA	
060102	MASTECTOMIA RADICAL CON LINFADENECTOMIA CUALQUIER TECNICA	 $  306.316 
060103	MASTECTOMIA SIMPLE O TOTAL SIN LINFADENECTOMIA CUALQUIER TECNICA	 $  117.904 
060104	MASTECTOMIA SUBCUTANEA CON PRESERVACION DE PEZON CUALQUIER TECNICA 	 $  129.569 
060105	MASTOPLASTIA UNI O BILATERAL CUALQUIER TECNICA CON AUTORIZACION PREVIA	 $  148.444 
060107	MAMILOPLASTIA EN UNO O DOS TIEMPOS	 $  115.836 
060108	ESCISION LOCAL DE LESION DE MAMA DE CONDUCTO DE PEZON	 $  86.422 
060109	ESCISION SIMPLE DE CUADRANTE MAMARIO CON O  SIN VACIAMIENTO GANGLIONAR AXILAR CUALQUIER TECNICA	 $  141.313 
060110	DRENAJE DE ABSCESO MAMARIO	 $  10.281 
060111	PUNCION QUISTE MAMARIO PUNCION BIOPSIA DE MAMA	 $  10.281 
060112	ESCISION DE CUADRANTE MAMARIO CON VACIAMIENTO AXILAR	 $  141.313 
060113	TRATAMIENTO GINECOMASTÍA 	 $  278.632 
060180	PUNCION ESTEREOTAXICA DE MAMA	 $  21.802 
060181	PUNCION MAMARIA CON AGUJA GRUESA. TECNICA DE ASPIRACION AL VACIO-MAMMOTOME SUROS	 $  89.814 
060201	MASTECTOMIA Y RECONSTRUCCION MAMARIA CON IMPLANTE - EN EL MISMO ACTO QUIRURGICO	 $  456.108 
060202	RECONSTRUCCION MAMARIA DIFERIDA	 $  236.728 
060203	RECONSTRUCCION MAMARIA CON EXPANSION TISULAR- PRIMER TIEMPO	 $  323.744 
060204	RECAMBIO EXPANSOR TISULAR POR IMPLANTE MAMARIO	 $  269.202 
060205	RECONSTRUCCION MAMARIA CON COLGAJO MIOCUTANEO	 $  380.159 
060206	RECONSTRUCCION DEL COMPLEJO AREOLA PEZON	 $  113.232 
	OPERACIONES EN EL SISTEMA CARDIOVASCULAR	
070101	SEPTOSTOMIA INTERAURICULAR	 $  1.125.406 
070102	SEPTOSTOMIA CON BALON	 $  1.125.406 
070103	COLOCACION DE MARCAPASO DEFINITIVO CON ELECTRODO ENDOCAVITARIO	 $  155.904 
070104	COLOCACION DE MARCAPASO DEF. C/ELECTRODO EPICARDICO	 $  158.082 
070105	CAMBIO DE GENERADOR MARCAPASO DEFINITIVO. RECOLOCACION PLASTICA DE BOLSILLO DE MARCAPASO	 $  134.587 
070106	CIRCULACION ASISTIDA  C/BALON DE CONTRAPULSACION	 $  67.551 
070108	CARDIORRAFIA SUTURA DE CORAZON HERIDA O TRAUMATISMO	 $  301.213 
070109	PERICARDIOTOMIA CON EXPLORACION CON DRENAJE DESCOMPRENSION PARAEVACUACION DE HEMATOMA	 $  310.475 
070110	BIOPSIA DE PERICARDIO	 $  330.936 
070111	PERICARDIOCENTESIS DIAGNOSTICA O TERAPEUTICA	 $  107.955 
070112	CATETERISMO DE CORAZON	 $  121.236 
070114	CAMBIO GENERADOR CARDIODESFIBRILADOR	 $  93.389 
070115	COLOCACION DE DESFIBRILADOR IMPLANTABLE -RESINCRONOZADOR-	 $  260.451 
070116	COLOCACION DE RESINCRONIZADOR	 $  260.451 
070201	CX CARDIOPATIAS CONGENITAS EN MAYORES DE 14 AÑOS CON O SIN CIRCULACION EXTRACORPOREA	 $  2.240.095 
070202	TRATAMIENTO QUIRURGICO DE ANEURISMAS DE LA AORTA ABDOMINAL	 $  821.179 
070203	REEMPLAZO DE VALVULA CARDIACA POR PROTESIS	 $  1.982.649 
070204	DOBLE REEMPLAZO DE VALVULA CARDIACA	 $  2.053.421 
070205	REEMPLAZO DE UNA VALVULA CARDIACA Y PLASTICA DE LA OTRA	 $  2.053.421 
070206	TRATAMIENTO QUIRURGICO DE ANEURISMAS DEL CAYADO AORTICO. ANEURISMA DISECANTE DE AORTA	 $  2.195.093 
070207	TRATAMIENTO QUIRURGICO DE ANEURISMAS DE AORTA DESCENDENTE	 $  981.117 
070208	DERIVACION (BY-PASS) AORTO CORONARIO	 $  1.947.280 
070209	DERIVACION (BY-PASS) MAMARIO CORONARIO	 $  1.907.893 
070210	RESECCION DE ANEURISMA VENTRICULAR (Unica operacion)	 $  1.907.893 
070213	VALVULOPLASTIA MITRAL POR HEMODINAMIA	 $  616.085 
070214	IMPLANTE PERCUTANEO DE VALVULA AORTICA	 $  1.204.669 
070215	CIERRE DEFECTOS SEPTALES CON DISPOSITIVO 	 $  1.911.865 
070216	CX CARDIOPATIAS CONGENITAS CON CIRCULACION EXTRACORPOREA SIMPLE-RECIEN NACIDOS Y NINOS HASTA 14 ANOS	 $  2.240.095 
070217	CX CARDIOPATIAS CONGENITAS CON CIRCULACION EXTRACORPOREA COMPLEJA-REC NAC Y NINOS HASTA 14 ANOS	 $  2.240.095 
070218	IMPLANTE DE ENDOPROTESIS EN ARTERIAS O VENAS TORAXICA O ABDOMINALES	 $  616.085 
070219	VALVULOPLASTIA AORTICA - PULMONAR POR HEMODINAMIA	 $  616.085 
070220	REPARACION PLASTICA DE VALVULA CARDIACA	 $  616.085 
070302	CIRUGIA EN LOS GRANDES TRONCOS ARTERIALES	 $  1.224.162 
070305	CX CARDIOPATIAS CONGENITAS SIN CIRCULACION EXTRACORPOREA- RECIEN NACIDOS Y NINOS HASTA 14 ANOS	 $  2.240.095 
070402	CIRUGIA DE LAS RAMAS VISCERALES DE LA AORTA ABDOMINAL Y TRONCOS ILIACOS	 $  437.438 
070404	DERIVACION AORTO BIFEMORAL	 $  543.060 
070405	DERIVACION AORTO ILIACO UNI O BILATERAL	 $  558.093 
070406	OTRAS DERIVACIONES ARTERIALES EN CAVIDAD ABDOMINAL	 $  566.239 
070407	ANASTOMOSIS PORTO-CAVA O ESPLENORENAL O MESENTERICO CAVA - CAVA	 $  445.090 
070409	COLOCACION DE FILTRO MOBIN UDDIN	 $  250.645 
070501	CIRUGIA DE LA ARTERIA CAROTIDA O DE LA VERTEBRAL TROMBOENDARTERECTOMIA EMBOLECTOMIA	 $  629.886 
070502	SUTURA O LIGADURA DE LOS VASOS PROFUNDOS DEL CUELLO	 $  111.250 
