ANEXO I - NOMENCLADOR GENERAL APROSS
Código	Descripción	Valor
110310	RESECCION DE TABIQUE VAGINAL	 $  90.686 
110311	BIOPSIA DE VAGINA PUNCION DE FONDO DE SACO DE DOUGLAS	 $  17.502 
110312	VULVECTOMIA RADICAL INCLUYE VACIAMIENTO DE GANGLIOS INGINALES	 $  333.522 
110313	VULVECTOMIA SIMPLE	 $  136.496 
110314	ESCISION DE LABIOS MAYORES MENORES GLANDULA DE BARTHOLINO  GLANDULA DE SKENE	 $  83.750 
110315	HIMENOTOMIA	 $  28.030 
110316	EPISIORRAFIA PERINEORRAFIA O EPISIOPERINEORRAFIA	 $  24.900 
110317	CIRUGIA REPARATIVA DE FÍSTULA VESICOVAGINAL- RECTOVAGINAL  	 $  566.038 
110318	CIRUGÍA POR CÁNCER DE VAGINA  	 $  463.883 
110401	PARTO	 $  282.515 
110402	EVACUACION UTERINA 2 TRIMESTRE DEL EMBARAZO CON MECANISMO DE PARTO	 $  136.291 
110403	OPERACION CESAREA CLASICA- EXTRAPERITONEAL-VAGINAL	 $  261.611 
110404	ATENCION DEL ALUMBRAMIENTO O PUERPERIO Y/O SUS COMPLICACIONES CUANDO EL PARTO NO FUE ASISTIDO POR MEDICO	 $  42.265 
110405	AMNIOCENTESIS	 $  26.611 
110410	ATENCION DE PARTO-CESAREA EN EMBARAZO DE ALTO RIESGO	 $  330.668 
111101	MODULO DE INSEMINACION INTRAUTERINA -IIUI- PRIMER INTENTO	 $  55.412 
111102	MODULO DE INSEMINACION INTRAUTERINA -IIUI- SEGUNDO INTENTO	 $  55.412 
111103	MODULO DE INSEMINACION INTRAUTERINA -IIUI- TERCER INTENTO	 $  55.412 
112001	MODULO ESTIMULACION OVARICA - 1ER INTENTO	 $  40.232 
112002	MODULO ESTIMULACION OVARICA - 2DO INTENTO	 $  40.232 
112003	MODULO ESTIMULACION OVARICA - 3ER INTENTO	 $  40.232 
113001	MODULO ASPIRACION Y FIV O ICSI - 1ER INTENTO	 $  369.394 
113002	MODULO ASPIRACION Y FIV O ICSI - 2DO INTENTO	 $  369.394 
113003	MODULO ASPIRACION Y FIV O ICSI - 3ER INTENTO	 $  369.394 
113004	MODULO DESCONGELACION Y TRANSFERENCIA	 $  116.935 
113005	MODULO DESCONGELACION Y TRANSFERENCIA- SEGUNDO INTENTO 	 $  116.935 
114001	MODULO TRANSFERENCIA - 1ER INTENTO	 $  73.037 
114002	MODULO TRANSFERENCIA - 2DO INTENTO	 $  73.037 
114003	MODULO TRANSFERENCIA - 3ER INTENTO	 $  73.037 
115001	MOD.DE DONACION DE GAMETOS-OVOCITOS	 $  612.493 
115002	MOD.DE DONACION DE GAMETOS-ESPERMATOZOIDES	 $  135.324 
	OPERACIONES EN EL SISTEMA MUSCULO ESQUELETICO	
120202	REDUCCION INCRUENTA DE FRACTURAS DE ESTERNON, ESCAPULA HUMERO CUBITO ETC	 $  25.836 
120203	REDUCCION INCRUENTA DE FRACTURAS DE PELVIS, FEMUR, TIBIA, PERONE ETC	 $  25.836 
120204	REDUCCION INCRUENTA DE FRACTURAS DE CLAVICULA, COSTILLA ROTULA ETC	 $  25.836 
120301	REDUCCION OSTEOSINTESIS COLUMNA CERVICAL DORSAL O LUMBAR	 $  666.450 
120302	REDUCCION OSTEOSINTESIS HUMERO PELVIS SACRO FEMUR TIBIA PERONE CUBITO	 $  335.807 
120303	REDUCCION OSTEOSINTESIS CUBITO RADIO TERCIO INFERIOR CARPO PRIMERMETACARPO - TARSO MAXILARES	 $  201.910 
120304	REDUCCION OSTEOSINTESIS ESTERNON COSTILLA CLAVICULA ESCAPULA ROTULA	 $  147.745 
120305	REDUCCION OSTEOSINTESIS METACARPIANOS EXCEPTO EL PRIMERO METATARSIANO FALANGES MALAR PROPIO DE LA NARIZ	 $  129.396 
120401	INCISION, RESECCION PARCIAL DE VERTEBRAS LAMINECTOMIA	 $  398.537 
120402	INCISION RESECCION PARCIAL DE COXAL FEMUR HUMERO	 $  158.094 
120403	INCISION RESECCION PARCIAL DE ESTERNON ESCAPULA CUBITO RADIO CARPO TIBIA PERONE TARSO	 $  160.710 
120404	INCISION RESECCION PARCIAL DE COSTILLA CLAVICULA METACARPO METATARSO FALANGES	 $  93.092 
120405	PUNCION BIOPSIA DE VERTEBRAS	 $  30.836 
120406	PUNCION BIOPSIA DE CUALQUIER OTRO HUESO	 $  30.836 
120407	CIRUGIAS COMPLEJAS DE COLUMNA - TUMORES	 $  451.278 
120501	RESECCION TOTAL DE ESCAPULA HUMERO ISQUION ILION	 $  240.283 
120502	RESECCION TOTAL DE COXAL FEMUR TIBIA HUMERO MAXILAR SUPERIOR INFERIOR	 $  240.283 
120503	RESECCION TOTAL DE CUBITO RADIO PERONE CARPO ASTRAGALO CALCANEO TARSO COSTILLAS MALAR	 $  177.003 
120504	RESECCION TOTAL DE CLAVICULA ROTULA METATARSIANO O METATARSIANO FALANGE DE UN MISMO DEDO	 $  151.915 
120601	OSTEOTOMIAS CORRECTIVAS FEMUR TIBIAL TIBIA Y PERONE	 $  177.918 
120602	OSTEOTOMIAS CORRECTIVAS HUMERO CUBITAL Y/O RADIAL ASTRAGALO Y/O CALCANEO	 $  153.594 
120603	OSTEOTOMIA CORRECTIVA METACARPIANO METATARSIANO FALANGES	 $  89.111 
120701	OSTEOPLASTIA CLAVICULA	 $  127.022 
120702	OSTEOPLASTIA HUMERO	 $  203.580 
120703	OSTEOPLASTIA CUBITO RADIO CARPO HUESOS DE LA CARA	 $  166.113 
120704	OSTEOPLASTIA METACARPIANO	 $  135.288 
120705	OSTEOPLASTIA FALANGES	 $  85.377 
120706	OSTEOPLASTIA FEMUR TIBIA PERONE	 $  203.580 
120707	OSTEOPLASTIA ASTRAGALO CALCANEO OTROS HUESOS DEL TARSO	 $  127.022 
120708	OSTEOPLASTIA METATARSIANO FALANGES	 $  97.502 
120801	ARTROCENTESIS DIAGNOSTICA TERAPEUTICA ARTROGRAFIA	 $  20.901 
120901	ARTROTOMIA SACRO-ILIACA CONDRO-COSTAL CONDRO-ESTERNAL	 $  134.428 
120902	ARTROTOMIA HOMBRO CADERA RODILLA	 $  147.447 
120903	ARTROTOMIA METACARPO/METATARSO/FALANGICA INTERFALANGICA	 $  79.260 
121003	ARTOPLASTIA HOMBO CODO MUNECA CUELLO DE PIE TEMPOR	 $  181.449 
121004	ARTOPLASTIA ESTERNO-CLAVICULAR CARPO TARSO-METATAR	 $  149.705 
121005	ARTROPLASTIA ACROMIO CLAVICULAR METACARPO-FALANGICA	 $  126.757 
121006	VIDEOARTROSCOPIA SIMPLE	 $  204.432 
121007	VIDEOARTROSCOPIA COMPLEJA -LIGAMENTOS  HOMBRO  RODILLA -	 $  320.169 
121008	VIDEOARTROSCOPIA DE TOBILLO Y MUNECA	 $  204.432 
121009	ARTROPLASTIA DE CADERA O RODILLA	 $  626.383 
121010	HEMIARTROPLASTIA DE CADERA O RODILLA	 $  626.380 
121101	ARTRODESIS COLUMNA CERVICAL DORSAL LUMBAR MENOS DE TRES VERTEBRAS	 $  500.690 
121102	ARTRODESIS COLUMNA CERVICAL DORSAL LUMBAR CADERA RODILLA MAS DE TRES VERTEBRAS	 $  592.119 
121103	ARTRODESIS HOMBRO CODO	 $  127.022 
121104	ARTRODESIS ESTERNO CLAVICULAR MUNECA TARSO TIBIOTARSAL TARSOMETATARSIANA SINFISIS PUBIANA	 $  201.937 
121105	DOBLE ARTRODESIS CHOPART SUB ASTRAGALINA	 $  127.022 
121106	TRIPLE ARTRODESIS TIBIOTARSIANA SUBASTRAGALINA	 $  201.937 
121107	ARTRODESIS PROXIMAL O DISTAL - METACARPO FALANGICA- METATARSO FALANGICA- INTERFALANGICA	 $  89.111 
121112	ARTRODESIS DE RODILLA 	 $  291.389 
121109	CIRUGIAS ESCOLIOSIS CONGENITA CUALQUIER VIA Y/O TECNICA	 $  1.222.440 
121110	CIRUGIA DE CANAL ESTRECHO DEGENERATIVO PARA LIBERACION DE SACO DURAL DE 4 O MAS NIVELES CON INSTRUMENTACION	 $  576.208 
121111	CORRECCION QUIRURGICA DE LA ESCOLIOSIS, LORDOSIS, CIFOSIS, POR VIA ANTERIOR O POSTERIOR	 $  826.347 
121201	SUTURA DE CAPSULA O LIGAMENTOS ESTERNOCLAVICULAR ACROMIO CLAVICULAR CODO MUNECA CARPO	 $  93.092 
121202	SUTURA DE CAPSULA O LIGAMENTOS HOMBRO CADERA RODILLA TEMPORO MAXILAR	 $  134.428 
121203	SUTURA DE CAPSULA O LIGAMENTOS METACARPO O METATARSO FALANGICA INTERFALANGICA	 $  80.816 
121204	ESCISION O INCISION BIOPSIA DRENAJE O EXTRACCION DE DEPOSITOS	 $  85.189 
121301	INMOVILIZACION POR LUXACION DE COLUMNA CERVICAL DORSAL O LUMBAR	 $  54.651 
121302	INMOVILIZACION POR LUXACION DE CADERA RODILLA	 $  40.482 
121303	INMOVILIZACION POR LUXACION DE CLAVICULA HOMBRO CODO MUÑECA METACARPO TOBILLO	 $  23.406 
121304	INMOVILIZACION DE METACARPO O METATARSO FALANGICA POR UNA O MAS LUXACIONES	 $  23.406 
121305	TRATAMIENTO QUIRURGICO E INMOVILIZACION POR LUXACION DE COLUMNA CERVICAL DORSAL LUMBAR	 $  243.950 
121306	TRATAMIENTO QUIRURGICO E INMOVILIZACION POR LUXACION DE CADERA RODILLA	 $  243.950 
121307	TRATAMIENTO QUIRURGICO E INMOVILIZACION POR LUXACION DE CLAVICULAHOMBRO CODO MUNECA METACARPIO TOBIL	 $  142.546 
121308	TRATAMIENTO QUIRURGICO E INMOVILIZACION POR LUXACION DE METACARPOMETATARSO FALANGICA TEMPOROMAXILAR	 $  72.488 
121401	MIECTOMIAS CON VACIAMIENTO DE CELDA MUSCULAR	 $  80.816 
121402	INCISION DE MUSCULOS ESCISION DE LESION LOCAL BIOPSIA MIORRAFIAS	 $  102.101 
121501	EXPLORACION DRENAJE EXTRACCION INCISION BIOPSIA TENOTOMIA FASCIOTOMIA	 $  86.395 
121502	REPARACION Y SUTURA TENORRAFIA DE TENDON DE LA MUNECA O DE DEDO DE LA MANO	 $  82.480 
121503	TENOPLASTIA CON ALARGAMIENTO O ACORTAMIENTO O INJERTO TENDON FLEXOR DE LA MUNECA O DEDO	 $  127.022 
121504	REPARACION O SUTURA TENORRAFIA EN TENDON EXTENSOR DE LA MUNECA ODEDO	 $  78.734 
121505	TENOPLASTIA CON ALARGAMIENTO O ACORTAMIENTO O INJERTO DE TENDON EXTENSOR DE LA MUNECA O DEDO	 $  126.757 
121506	REPARACION SUTURA TENORRAFIA DE OTRO TENDON	 $  78.734 
121507	TENOPLASTIA CON ALARGAMIENTO O ACORTAMIENTO O INJERTO DE TENDON	 $  169.976 
121508	TRATAMIENTO DE LA SECUELA POR PARALISIS POLIMIELITIS	 $  153.594 
121509	ESCISION GANGLION	 $  73.403 
121603	AMPUTACION BRAZO CODO ANTEBRAZO MUNECA MANO	 $  120.345 
121605	AMPUTACION CADERA	 $  460.169 
121606	AMPUTACION MUSLO O RODILLA	 $  213.350 
121607	AMPUTACION PIE O PIERNA	 $  154.370 
121608	AMPUTACION DEDO DE LA MANO	 $  76.229 
121609	AMPUTACION DEDO DEL PIE	 $  101.928 
121701	DISCECTOMIA CERVICAL DORSAL O LUMBAR	 $  592.119 
121702	DISCECTOMIA CERVICAL DORSAL LUMBAR CON ARTRODESIS	 $  639.073 
121704	TENOTOMIA Y/O FASCIOTOMIAS UNICAS O MULTIPLES PARA EL TRATAMIENTODE LA TORTICOLIS	 $  89.818 
121706	TRATAMIENTO QUIRURGICO DE LA LUXACION INVETERADA Y RECIDIVANTE DEHOMBRO	 $  177.918 
121707	APONEURECTOMIA PALMAR PARCIAL O TOTAL CON O SIN INJERTO	 $  117.983 
121708	APONEURECTOMIA PARCIAL O TOTAL	 $  117.983 
121709	APONEURECT.PARC.E INJERTO INCL.TOMA INJE	 $  81.891 
121710	DE UN ESPACIO DIGITAL S/INJERTO	 $  112.583 
121712	RECONSTRUCCION TOTAL DEL PULGAR POR TRANSPOSICION	 $  243.950 
121713	RECONSTRUCCION PARCIAL PULGAR EN 1 o MAS TIEMPOS	 $  125.677 
121714	LUXACION CONGENITA DE CADERA REDUCCION INCRUENTA	 $  45.316 
121715	LUXACION CONGENITA DE CADERA REDUCCION CRUENTA	 $  273.068 
121716	DISPLASIA DE CADERA S/LUXACION TRAT.QUIR	 $  326.910 
121717	EPIFISIOLOSIS DE CADERA COXAVARA DEL ADOLESCENTE	 $  273.068 
121718	TRATAMIENTO QUIRURGICO DE LA LUXACION TRAUMATICA INVETERADA DE CADERA	 $  276.932 
121719	CUADRICEPSPLASTIA OPERACION DE JUDET	 $  180.746 
121720	LUXACION RECIDIVANTE DE ROTULA	 $  97.502 
121721	PIE ZAMBO VARO	 $  153.594 
121722	PIE EQUINO TRATAMIENTO QUIRURGICO	 $  118.634 
121723	PIE PLANO O PIE CAVO TRATAMIENTO QUIRURGICO	 $  191.607 
121724	SEUDOEXOSTOSIS DE HAGLUND	 $  84.684 
121725	TRATAMIENTO QUIRURGICO DEL PIE HENDIDO	 $  93.724 
121726	TRATAMIENTO QUIRURGICO COMPLETO DEL HALLUS VALGUS	 $  203.974 
121727	TRATAMIENTO QUIRURGICO DEL DEDO EN GARRA O EN MARTILLO INCLUYE HASTA 5 DEDOS	 $  93.068 
121728	EXERISIS DEL NEUROMA DE MORTON	 $  227.015 
121729	TRATAMIENTO QUIRURGICO DEL HALLUX VALGUS POR VIDEO 	 $  203.974 
121730	CIRUGIAS DE PARTES BLANDAS U OSTEOTOMIAS PARA TRATAMIENTO DE PIE PLANO, PIE CAVO SIMPLE O COMPLEJO DEL NIÑO	 $  127.231 
121801	INFILTRACIONES MUSCULARES PERIARTICULAR	 $  8.145 
121802	MOVILIZACION FORZADA DE ARTICULACIONES BAJO-ANESTESIA YESOS VENDAJES Y TRACCIONES CONTINUAS	 $  23.406 
121803	COLOCACION DE SUSTANCIAS INTRAMUSCULARES Y/O TOXINA BOTULINICA	 $  27.858 
121902	YESO PARA NARIZ -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121905	VENDAJE DE SHANZ -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121906	CORSET -COMO UNICO PROCEDIMIENTO-	 $  13.552 
121908	CORSET DE RISSER O SIMILARES -COMO UNICO PROCEDIMIENTO-	 $  13.552 
121909	LECHO DE LORENZ HASTA CADERA -COMO UNICO	 $  11.915 
121910	LECHO DE LORENZ HASTA PIE -COMO UNICO	 $  7.665 
121911	VENDAJE DE CINGULO PARA COSTILLA -COMO UNICO PROCEDIMIENTO-	 $  7.665 
121912	VENDAJE EN OCHO ENYESADO -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121913	VENDAJE DE ROBERT JONES-ACROMIO CLAVICULAR -COMO UNICO PROCEDIMIENTO-	 $  7.665 
121914	VELPEAU DE YESO -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121915	VENDAJE DE VELPEAU -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121916	YESO TORACO-BRAQUIAL -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121917	YESO BRAQUIPALMAR -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121918	YESO COLGANTE -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121919	YESO ANTEBRAQUIPALMAR-COMO UNICO PROCEDIMIENTO	 $  11.915 
121920	MANO DE YESO -COMO UNICO PROCEDIMIENTO-	 $  7.665 
121921	VALVA LARGA PARA MIEMBROS -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121922	VALVA CORTA PARA MIEMBROS -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121923	YESO PELVIPEDICO -COMO UNICO PROCEDIMIENTO-	 $  13.552 
121924	DUCROCQUET -COMO UNICO PROCEDIMIENTO-	 $  13.552 
121925	CALZA DE YESO YESO-CRURO-PEDICO -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121926	BOTA LARGA DE YESO -COMO UNICO PROCEDIMIENTO-	 $  11.915 
121927	BOTA CORTA DE YESO - COMO UNICO PROCEDIMIENTO	 $  11.915 
121928	BOTIN DE YESO -COMO UNICO PROCEDIMIENTO-	 $  11.915 
	MODULOS DE REHABILITACION 	
280201	MODULO REHABILITACION PULMONAR	 $  36.197 
122001	MODULO REHABILITACION TRAUMATOLOGICA	 $  50.534 
122003	MODULO REHABILITACION POST QUIRURGICO	 $  50.534 
	OPERACIONES EN LA PIEL Y TEJIDO CELULAR SUBCUTANEO	
130101	ESCISION DE QUISTE DERMOIDEO SACROCOXIGEO	 $  108.154 
130102	ESCISION AMPLIA DE LESION DE PIEL TUMOR MALIGNO	 $  76.574 
130103	ESCISION RADICAL DE ANGIOMA CAVERNOSO MAYOR	 $  75.846 
130104	ESCISION LOCAL DE LESION DE PIEL O GLANDULA	 $  6.695 
130105	INCISION Y DRENAJE DE ABSCESO SUPERFICIAL HIDROSADENITIS QUISTE SEBACEO ANTRAX NEVUS	 $  9.561 
130106	ESCARECTOMIA	 $  5.508 
130107	ESCARECTOMIA EN  QUIROFANO CON ANESTESIA	 $  33.966 
130108	BIOPSIA DE PIEL Y/O TEJIDO CELULAR SUBCUTANEO	 $  9.561 
130109	ESCISION DE UÑA LECHO O REPLIEGUE UNGUEAL	 $  12.069 
130110	SUTURAS DE HERIDAS	 $  11.314 
130112	ESCISION DE TUMOR DE TEJIDO CELULAR SUBCUTANEO LIPOMA	 $  13.218 
130113	ESCISION LIPOMA GIGANTE	 $  81.292 
130114	INCISION DRENAJE DE ABSCESO PROFUNDO SUBAPONEUROTICO	 $  10.480 
130201	INJERTO LIBRE DE GRASA DERMIGRASA O PIEL	 $  65.794 
130202	PREPARACION DE COLGAJO TUBULADO	 $  65.794 
130203	ADELGAZAMIENTO DE PIEL TRANSPLANTE DE GRASA	 $  78.942 
130204	CIERRE PLASTICO DE HERIDA POR COLGAJO	 $  84.142 
130205	TRANSPORTE DE TUBO DE INJERTO	 $  62.387 
130206	OPERACION RELAJANTE EN *Z* ZETOPLASTIA	 $  84.776 
130207	TOMA Y COLOCACION DE INJERTO DE PIEL	 $  62.387 
130208	DERMOABRASION POR TRATAMIENTO ZONAL	 $  67.016 
130210	INJERTO DIFERIDO DEL COLGAJO SEPARACION DEL PEDICULO	 $  39.720 
130211	PREPARACION DEL COLGAJO CIERRE PLASTICO POR ROTACION	 $  75.536 
130212	COLGAJOS MIOCUTANEOS CON ANASTOMOSIS VASCULAR	 $  92.274 
130301	MODULO ATENCION DEL PACIENTE CON QUEMADURAS DE SEGUNDO Y TERCER GRADO (INCLUYE TODO)	 $  219.123 
130304	MODULO ESCISION DE ESCARAS POSTQUEMADURAS CURACION PACIENTES CON QUEMADURAS EN QUIROFANO BAJO ANESTESIA GENERAL	 $  365.207 
	ALERGIA	
140103	TESTIFICACION TOTAL PARA ESTUDIOS O TRATAMIENTOS	 $  5.236 
	ANATOMIA PATOLOGICA	
150101	ESTUDIO ANATOMOPAT. BIOPSIA Y  PIEZAS QUIRURGICAS	 $  8.266 
150102	ESTUDIO ANATOMOPATOLOGICO POR CONGELACION	 $  8.266 
150103	CITOLOGIA ONCOLOGICA Y FUNCIONAL	 $  3.246 
150104	INMUNOHISTOQUIMICA INCLUYE HASTA 5 MARCACIONES	 $  48.242 
150105	INMUNOFLUORESCENCIA	 $  28.551 
150106	BIOPSIA DE NERVIO O MÚSCULO	 $  131.385 
150107	CITOLOGIA EXFOLIATIVA BRONQUIAL (ESPUTO, LAVADO BRONQUIAL, LAVADO BRONQUIOLO-ALVEOLAR)	 $  17.254 
	CARDIOLOGIA	
170101	ELECTROCARDIOGRAMA	 $  2.176 
170106	ELECTROCARDIOGRAMA CON DERIVACION INTRAESOFAGICA	 $  1.322 
170111	ERGOMETRIA	 $  8.330 
170112	ECO STRESS CARDIACO	 $  34.619 
170113	ERGOESPIROMETRIA	 $  25.045 
170117	REHABILITACION DEL CARDIOPATA POR MES - MX. 6 MESES	 $  23.778 
170118	ELECTROCARDIOGRAMA DE HOLTER -24 HORAS- MAS DE 1 CANAL	 $  15.980 
170119	ESTUDIO ELECTROFISIOLOGICO SIMPLE	 $  67.608 
170120	ESTUDIO ELECTROFISIOLOGICO COMPLEJO	 $  205.649 
170121	TILTEST	 $  10.666 
170122	MONITOREO AMBULATORIO DE TENSION ARTERIAL (PRESUROMETRIA)	 $  12.860 
170123	CONTROL DE MARCAPASO	 $  3.271 
	ECOGRAFIA	
180101	ECOCARDIOGRAMA COMPLETO A M Y B	 $  5.092 
180104	ECOGRAFIA TOCOGINECOLOGICA	 $  3.477 
180106	ECOGRAFIA MAMARIA BILATERAL	 $  3.477 
180107	ECOGRAFIA CEREBRAL	 $  3.477 
180109	ECOGRAFIA OFTALMOLOGICA UNI O BILATERAL	 $  3.477 
180110	ECOGRAFIA TIROIDEA y/o PARATIROIDES	 $  3.477 
180111	ECOGRAFIA DE TESTICULOS	 $  3.477 
180112	ECOGRAFIA COMPLETA DE ABDOMEN	 $  3.477 
180113	ECOGRAFIA HEPATO BILIAR, ESPLENICA O TORACICA	 $  3.477 
180114	ECOGRAFIA DE VEJIGA O PROSTATA CON O SIN TRASDUCTOR RECTAL	 $  3.477 
180116	ECOGRAFIA RENAL BILATERAL	 $  3.477 
180117	ECOGRAFIA AORTA ABDOMINAL DINAMICAY ESTATICA	 $  3.397 
180118	ECOGRAFIA PANCREATICA O SUPRARRENAL	 $  3.397 
180121	ECOGRAFIA PARA AMNIOCENTESIS	 $  3.397 
180123	ECOGRAFIA CON TRANSDUCTOR ENDOVAGINAL	 $  3.477 
180124	ECOGRAFIA CON TRANSDUCTOR ENDORECTAL	 $  3.477 
180125	ECOGRAFIA CON TRANSLUCENCIA NUCAL	 $  7.604 
180126	DRENAJE DE COLECCIONES C ECOGRAFIA-INCLUYE MATERIAL DESCARTABLE	 $  34.444 
180127	ECOGRAFIA DE PARTES BLANDAS	 $  3.477 
180129	ECOGRAFIA DE PARATIROIDES	 $  3.477 
180131	BIOPSIA GUIADA POR ECOGRAFIA-INCLUYE MATERIAL DESCARTABLE	 $  27.533 
180132	BIOPSIA RENAL GUIADA POR ECOGRAFIA - INCLUYE INMUNOFLUORESCENCIA	 $  138.054 
180201	ECODOPPLER CARDIACO COLOR	 $  9.935 
180202	ECODOPPLER PERIFERICO COLOR	 $  9.935 
180203	ECO POWER DE ARTICULACIONES - INCLUYE HASTA 6 REGIONES	 $  10.912 
180204	ECCO DOPLER OBSTETRICO	 $  9.935 
180301	ECODOPPLER TRANSESOFAGICO	 $  21.078 
180501	ECODOPPLER CARDIACO FETAL COLOR	 $  10.732 
180502	ECODOPPLER TRANSCRANEAL	 $  10.732 
	ENDOCRINOLOGIA Y NUTRICION	
190102	REGIMEN INDIVIDUAL CON PREPARACION DE MENU DIETETICO	 $  1.396 
190103	PREPARACION DE DIETA PARENTERAL Y/O ENTERAL	 $  1.998 
190210	SOBRE PESO GRADO II CON COMORBILIDADES	 $  7.364 
190220	OBESIDAD GRADO I	 $  12.260 
190230	OBESIDAD GRADO II	 $  12.260 
190240	OBESIDAD MORBIDA	 $  11.579 
190250	OBESIDAD MORBIDA EN PAC CON BARIATRICA	 $  10.795 
190260	OBESIDAD SECUNDARIA	 $  7.588 
190270	PACIENTES SOMETIDOS A CIRUGIA BARIATRICA	 $  7.364 
	GASTROENTEROLOGIA	
200113	LAVADO GASTRICO O ESOFAGICO	 $  2.956 
200130	REDUCCION NO QUIRURG.DE LA INVAGINACION	 $  18.617 
200132	GASTROSTOMIA PERCUTANEA - ENDOSCOPICA	 $  72.903 
200134	POLIPECTOMIA ENDOSCOPICA GASTRICA	 $  42.590 
200135	POLIPECTOMIA ENDOSCOPICA COLONICA	 $  54.598 
200136	MUCOSECTOMIA	 $  35.948 
200137	VIDEOENDOSCOPIA DIAGNOSTICA DE ESOFAGO ESTOMAGO Y DUODENO	 $  35.115 
200138	VIDEOENDOSCOPIA DIAGNOSTICA DE COLON	 $  46.812 
200139	MANOMETRIA ANO-RECTAL	 $  25.047 
200140	USO DE ARGON PLASMA	 $  84.872 
200142	TRATAMIENTO DE LESIONES SANGRANTES (Esclerosis o Banding)	 $  57.106 
200148	DILATACION ENDOSCOPICA DE ESOFAGO, DUODENO O COLON	 $  57.106 
200149	EXTRACCION ENDOSCOPICA DE CUERPO EXTRANO 	 $  57.106 
200150	COLOCACION ENDOSCOPICA DE BALON INTRAGASTRICO	 $  81.716 
200151	EXTRACCION DE BALON INTRAGASTRICO	 $  52.232 
200160	ENDOSCOPIA DIGESTIVA CON CAPSULA FOTOGRAFICA	 $  372.158 
200230	PHMETRIA ESOFAGICA PEDIATRICA POR 24 HORAS	 $  27.575 
200231	IMPEDANCIOMETRIA ESOFAGICA	 $  24.535 
200232	MANOMETRIA ESOFÁGICA 	 $  24.535 
201025	VIDEOENDOSCOPIA DIAGNOSTICA DE COLON EN PEDIATRIA MENORES DE 14 AÑOS	 $  56.673 
201027	VIDEOENDOSCOPIA DIAGNOSTICA DE ESOFAGO, ESTOMAGO Y DUODENO EN PEDIATRIA, MENORES DE 14 AÑOS	 $  46.050 
201028	MIOTOMIA ENDOSCOPICA PARA TRATAMIENTO DE LA ACALASIA	 $  370.345 
201029	SEPTOTOMIA PARA TRATAMIENTO DEL DIVERTICULO DE ZENKER	 $  296.128 
201030	DEVOLVULACION ENDOSCOPICA	 $  46.812 
201031	RECAMBIO BOTON GASTROTOMIA	 $  43.285 
	GENETICA HUMANA	
210104	ANALISIS CROMOSOMICO DE CARIOTIPO SIMPLE	 $  7.198 
210105	ANALISIS CROMOSOMICO DE CARIOTIPO CON BANDAS G	 $  8.975 
210106	ANALISIS CROMOSOMICO DE CARIOTIPO CON BANDAS Q	 $  12.640 
210107	ANALISIS CROMOSOMICO DE CARIOTIPO CON BANDAS G-T Y Q	 $  12.640 
210110	CITOGENETICA EN MATERIAL SOLIDO	 $  28.959 
210111	CITOGENETICA CROMOSOMA X FRAGIL	 $  40.930 
210120	FISH  TUMORES SOLIDOS	 $  125.850 
210121	FISH ENFERMEDAD HEMATOLOGICA	 $  71.532 
210122	FISH ENFERMEDAD GENETICA	 $  67.931 
210123	FISH PARA LLC	 $  127.552 
210124	FISH PARA MIELOMA MULTIPLE	 $  147.220 
210125	CITOGENETICA CON RECUENTO DE METAFASES	 $  32.988 
210126	MUTACIONES JAK 2 EXON 12	 $  66.097 
210127	PCR CUANTITATIVA PML RAR	 $  80.939 
210128	PCR CUALITATIVA MLL AF4 (4; 11)	 $  52.937 
210129	PCR CUALITATIVA TEL AML 1 (12; 21)	 $  51.335 
210130	PCR CUALITATIVA CBFB (inversion del 16)	 $  47.044 
210131	ALTERACIONES MOLECULARES DEL GEN MPL 	 $  57.038 
210132	ALTERACIONES MOLECULARES DEL GEN CALR (Calreticulina)	 $  58.624 
210183	SCREENING QUIMERAS HEMATOPOYETICAS	 $  114.762 
210184	SEGUIMIENTO QUIMERISMO POST PTRANSPLANTE MEDULA OSEA SEGUIMIENTO	 $  44.947 
210201	ESTUDIO HLA A/B POR PERSONA	 $  79.302 
210205	CROSS-MATCH CONTRA DONANTE VIVO	 $  79.302 
210206	DETERMINACION ANTIGENOS DR-DQ POR UNICA VEZ	 $  81.610 
210209	ESTUDIO HLA C POR PERSONA	 $  64.157 
210210	ESTUDIO HLA DP POR PERSONA	 $  77.551 
210211	ESTUDIO HLA B POR PERSONA	 $  43.803 
211001	INFECTOLOGIA ESTUDIOS POR PCR	 $  13.620 
211101	ONCOLOGIA ESTUDIOS POR PCR	 $  22.607 
211102	ANTIGENO DQ POR PCR	 $  80.093 
211103	PCR ABL/BCR	 $  52.360 
